날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,263.35,263.77,257.47,258.23,69949709,3186640984476,1147017732129830
2019-01-03,258.19,258.7,255.35,255.77,90520685,3971916869836,1138232565242240
2019-01-04,255.62,258.12,254.55,257.89,91200480,4173872799949,1148634935078745
2019-01-07,261.11,263.13,260.76,261.57,92321424,3960240416630,1163850599086150
2019-01-08,261.29,262.43,259.39,259.65,86910036,3358745354328,1156011691962865
2019-01-09,260.95,266.05,260.87,265.6,98746921,4114636634226,1179664257625395
2019-01-10,265.73,266.85,264.61,265.55,99826751,3989492014812,1179002763032774
2019-01-11,266.58,267.58,265.56,267.13,81083817,3260831742264,1185872566891113
2019-01-14,266.22,266.7,264.23,264.99,74929076,3325000484027,1177896955550293
2019-01-15,265.62,270.02,265.37,269.93,87169802,3513449970139,1197561642240820
2019-01-16,269.96,271.28,269.05,271.23,100498222,3416239221438,1202179345729165
2019-01-17,271.66,273.05,270.81,271.88,86748241,3854972250980,1203660525563790
2019-01-18,273.02,273.95,272.56,273.88,78967732,3481414513039,1213248139088520
2019-01-21,274.99,275.14,272.29,274.0,86547203,3591530890125,1213024774847395
2019-01-22,274.08,274.6,271.45,272.71,68867101,3201812357650,1208787447588740
2019-01-23,271.35,274.51,271.03,273.87,99955945,3468749110644,1214752349864560
2019-01-24,274.1,276.64,273.74,276.61,132858044,4135428047020,1224279895856890
2019-01-25,277.3,281.72,277.04,281.67,115510069,5043670720403,1244467765522240
2019-01-28,282.56,283.46,280.47,281.64,95967224,4371925875945,1244223308262460
2019-01-29,281.12,283.0,279.65,283.0,130944151,4209885993777,1248886797990455
2019-01-30,282.86,286.63,282.24,286.62,134732109,4928603671429,1262976776968755
2019-01-31,288.85,288.87,285.89,285.89,153503910,5954789946431,1261225947036425
2019-02-01,287.07,288.34,285.43,285.79,114631068,4819940653560,1259308338739440
2019-02-07,287.54,287.67,284.97,285.65,100691203,4310362564652,1258574091683450
2019-02-08,283.85,284.01,280.95,281.49,88711061,3996965573801,1242042551866015
2019-02-11,281.75,282.19,280.02,282.1,79973737,3719089579717,1244934848258465
2019-02-12,282.12,284.32,281.43,283.69,92106932,4321296757818,1250731572620805
2019-02-13,285.09,285.59,284.13,284.97,93292244,3946711345203,1256574488018055
2019-02-14,284.25,288.68,282.91,288.68,112394979,4848017763029,1271650571132315
2019-02-15,286.42,286.42,282.81,283.98,77187790,3632959561167,1252886387773130
2019-02-18,285.6,287.02,284.64,285.9,73482620,3426204471015,1261736505501210
2019-02-19,285.36,286.12,283.16,284.91,62750439,3120247367429,1257975073767915
2019-02-20,286.55,289.22,286.21,288.4,88582603,4358725077090,1273190441238550
2019-02-21,287.43,289.28,286.05,288.41,88241133,3988961992438,1272502786988085
2019-02-22,287.29,288.74,286.54,288.74,70343270,3113762120009,1273818668816670
2019-02-25,290.19,290.32,287.84,289.0,73419643,3453315611180,1274609934860765
2019-02-26,288.52,289.2,287.06,287.89,81326244,3651855307146,1270459095850455
2019-02-27,288.9,289.41,288.09,288.76,72744240,3613385128832,1275185010352095
2019-02-28,288.13,288.62,283.8,283.8,129089236,6168135554206,1254863173821320
2019-03-04,286.12,286.68,282.16,282.51,107549409,4951354155993,1249806536776590
2019-03-05,281.42,281.89,279.53,280.45,78805311,3714665604588,1242442551129320
2019-03-06,280.09,280.26,278.72,279.85,75225423,3544145381698,1239732807806260
2019-03-07,279.33,280.98,277.44,278.87,78636297,3647183778966,1234100675241730
2019-03-08,277.18,278.0,274.84,274.84,71640389,3304833311630,1216685546661495
2019-03-11,275.5,276.28,273.88,275.06,64827413,3004400057052,1216975263632610
2019-03-12,277.41,278.48,276.94,277.73,63959075,2976821871295,1227750424444840
2019-03-13,276.92,277.12,274.04,276.0,61494895,2842575788226,1221515936729920
2019-03-14,276.79,277.4,274.78,276.64,95821503,4546638668490,1224511604069515
2019-03-15,276.42,280.5,276.31,279.87,123126129,5250375802861,1238433621894505
2019-03-18,280.27,280.77,278.92,279.93,60901379,2880391972422,1239451156975800
2019-03-19,280.3,280.4,278.63,279.82,55394656,2611815094660,1238764376772625
2019-03-20,278.84,280.07,276.34,279.92,61168125,2849450287284,1238411275817125
2019-03-21,281.14,284.39,280.63,282.38,97092920,4858252878406,1244998078943680
2019-03-22,283.92,284.55,282.09,283.13,117733859,5629471532603,1246392760537050
2019-03-25,279.12,279.21,277.19,277.45,77320301,3095952527919,1222136871564475
2019-03-26,278.43,278.49,276.91,277.6,65750906,3049236031429,1223564799692045
2019-03-27,277.01,278.16,274.87,277.28,67774293,3096586681780,1221620752713950
2019-03-28,275.02,276.2,273.9,275.08,66916887,2975104940737,1212132225495125
2019-03-29,276.33,277.01,274.32,276.48,82279150,3801328127617,1218821731725855
2019-04-01,278.41,280.93,278.41,280.32,76673645,3275488520128,1235413785445980
2019-04-02,281.67,282.47,281.0,281.72,72184617,3218499197804,1240907302397460
2019-04-03,281.88,285.65,281.22,285.65,91589821,4267127415750,1257097171866110
2019-04-04,285.29,287.75,284.97,286.15,73802701,3604945933884,1258768176555615
2019-04-05,286.03,287.53,285.93,286.68,64885247,2792135519549,1260733013209845
2019-04-08,287.78,287.83,285.09,286.38,64574084,3103178190150,1260187741241560
2019-04-09,286.51,288.02,285.38,286.71,66225266,3177670478181,1261972083024080
2019-04-10,285.44,288.01,285.1,287.92,75078819,3533497049295,1267710225090290
2019-04-11,288.33,288.71,286.38,287.42,84683104,4094145341972,1265968703805045
2019-04-12,286.89,288.62,285.83,288.37,69060135,3324626451670,1270082358478470
2019-04-15,289.54,290.74,289.12,289.38,80433690,3807398661640,1275003902781175
2019-04-16,289.18,290.76,288.77,290.62,96134204,3575096655372,1279708107975395
2019-04-17,290.68,291.21,289.84,290.33,72665455,3283222307651,1278750765598260
2019-04-18,290.88,291.15,285.38,285.82,89653360,4088516858952,1260183276618060
2019-04-19,287.18,287.48,285.72,285.89,63866490,2750364929060,1260666135245540
2019-04-22,286.06,287.59,284.52,285.87,55190120,2439635224087,1260788887875465
2019-04-23,285.85,286.83,285.42,286.47,67375416,2840853010904,1263377861301455
2019-04-24,287.82,287.82,281.96,283.7,88608499,4234305926307,1251958300638530
2019-04-25,282.8,284.22,281.9,282.83,74577171,3612876228530,1245985012800690
2019-04-26,280.86,282.47,279.7,281.34,76724753,3537384041846,1239580936760365
2019-04-29,282.0,286.79,281.81,286.79,66981322,3167707547375,1262176874778590
2019-04-30,286.25,286.59,282.61,284.92,77989672,3541834078418,1253245425577915
2019-05-02,283.37,286.87,283.14,286.12,84184679,3541283215965,1258468678439430
2019-05-03,285.64,285.95,283.14,283.67,67794313,3134226245573,1247763415510785
2019-05-07,280.89,281.66,278.95,281.31,97721608,3713381352918,1236536887977680
2019-05-08,277.85,281.84,277.84,280.15,75002622,3278240138503,1230847521474010
2019-05-09,278.83,279.63,271.0,271.0,124007639,5569821055727,1191357229463840
2019-05-10,273.37,274.32,269.71,272.06,89435399,4114391194006,1195704281398145
2019-05-13,269.8,271.54,268.55,268.72,66867020,2981764856486,1179860240792690
2019-05-14,266.03,270.42,265.55,268.57,82188146,3695491737931,1180465009566145
2019-05-15,268.42,271.0,267.62,269.64,77018367,3275684428366,1185584138291020
2019-05-16,269.83,269.96,265.24,265.99,75959987,3511842338341,1170029496223060
2019-05-17,267.85,268.06,263.94,264.35,75096478,3413236959144,1162892994502420
2019-05-20,265.9,267.65,264.33,264.96,64227039,2924879368286,1163862385727610
2019-05-21,265.25,268.55,264.79,266.12,81019777,3503604498228,1167634624304465
2019-05-22,267.01,267.6,263.95,266.65,61655034,2736820498116,1169975006847845
2019-05-23,266.4,267.12,264.5,266.38,71658495,3066454483426,1168184564830660
2019-05-24,264.7,266.11,263.1,264.42,67233870,2964223613158,1160279329921810
2019-05-27,264.18,265.85,263.17,264.4,53143031,2376340850737,1160808343835905
2019-05-28,264.38,266.16,263.27,264.7,147263111,6174917561280,1162285517193700
2019-05-29,264.1,264.1,260.22,261.37,82787685,3395449585820,1148114821157795
2019-05-30,261.58,264.23,261.58,263.93,70344896,3028652503421,1158274867930135
2019-05-31,262.48,265.21,261.53,263.89,77788410,3347013252510,1159460533077695
2019-06-03,262.68,268.55,262.33,268.16,83610388,3434036613731,1176857024355155
2019-06-04,267.84,268.47,266.72,267.66,70288515,2950359041029,1175471605353510
2019-06-05,270.1,270.46,267.46,267.99,67510600,3005619127285,1176059561126495
2019-06-07,267.97,269.63,266.27,268.27,67967402,2836191532821,1176656546665915
2019-06-10,270.32,272.2,268.68,272.1,60889859,2740655208965,1193097605982260
2019-06-11,271.48,273.69,271.24,273.21,61242525,2794652829200,1198824462333405
2019-06-12,273.14,274.32,272.0,272.74,66921111,2783671201962,1197118715458045
2019-06-13,271.96,272.46,268.38,271.13,95795426,4325324797517,1192627599806205
2019-06-14,270.19,271.55,268.96,270.48,66714909,3063545822061,1195403427332805
2019-06-17,269.83,271.59,269.14,270.09,57064486,2538810987000,1193186256113265
2019-06-18,269.77,271.87,269.77,271.36,65723109,2861163060700,1198475124465250
2019-06-19,274.4,275.6,274.08,275.31,69733881,3134202514367,1214488067642075
2019-06-20,274.63,276.09,274.43,276.01,55336102,2417864969894,1217980495880755
2019-06-21,276.17,276.26,274.6,275.48,77279125,3275700388035,1215322286872685
2019-06-24,275.91,276.73,275.13,275.58,55539166,2235175475192,1216275012742095
2019-06-25,275.33,277.02,274.19,275.28,60506916,2635188938422,1214522630810755
2019-06-26,275.21,276.36,274.66,275.53,58818293,2636531194570,1214852314569855
2019-06-27,275.47,278.63,275.09,277.75,66303258,3357666030731,1223628264181405
2019-06-28,278.03,278.56,276.58,277.5,67598321,2879563279447,1221833060757260
2019-07-01,279.59,279.68,276.85,277.27,74357415,3446049534338,1221162506411360
2019-07-02,276.06,277.46,274.63,275.97,65541622,2708085812265,1216095302838750
2019-07-03,275.57,276.69,271.9,272.37,97522781,3138322118926,1200830105498880
2019-07-04,273.18,274.61,271.93,274.54,77523216,2889730039185,1209271301915390
2019-07-05,274.74,275.23,272.41,274.35,60022239,2669930245411,1209896253283955
2019-07-08,271.38,271.67,268.38,268.55,75098280,2798860670882,1184667983708905
2019-07-09,269.6,270.22,267.72,267.72,71884983,3088992268259,1178521085917110
2019-07-10,269.29,270.33,268.6,268.75,67510933,2856521464232,1181782511249280
2019-07-11,270.58,272.97,270.46,271.78,107368534,3941205319330,1194682958443840
2019-07-12,272.21,273.23,271.28,272.68,55656674,2485960210347,1198622107927605
2019-07-15,272.06,273.38,270.99,272.64,83605679,2622528071020,1197360987408660
2019-07-16,272.79,274.54,272.14,274.05,137054662,3686310177379,1203039647568805
2019-07-17,272.13,272.28,270.29,271.48,117945915,3103666563107,1192254964165655
2019-07-18,271.05,271.63,269.73,270.67,80138926,2667786035081,1188229580081945
2019-07-19,272.71,274.95,272.21,274.55,87942590,3053869624689,1204750818211440
2019-07-22,273.9,275.35,273.57,274.55,60909523,2375285760075,1204027191196855
2019-07-23,274.93,276.56,274.84,275.92,95081264,3273220039020,1210242425955030
2019-07-24,275.12,276.48,272.91,273.22,84288536,3016179050760,1199279675777680
2019-07-25,274.08,274.62,271.25,273.04,95653283,3892367136144,1196024612538530
2019-07-26,271.41,272.56,270.57,272.25,89843153,3464087185487,1191883143982235
2019-07-29,271.21,271.91,267.07,267.75,78754177,2825170333576,1172710526269835
2019-07-30,268.69,269.79,268.33,268.95,64529662,2363742485954,1177366149232985
2019-07-31,268.46,269.14,265.0,266.34,96236056,3821854343903,1167850302010335
2019-08-01,264.97,267.44,264.47,265.73,72578467,2900144068054,1164062974299770
2019-08-02,262.61,263.94,261.75,262.99,99663840,3879296495873,1151973006854350
2019-08-05,261.1,261.4,256.76,257.19,131042821,4581363192619,1125510535974635
2019-08-06,250.85,257.04,250.24,253.41,123167614,4868704186086,1108798599116050
2019-08-07,254.46,254.9,251.08,252.0,90744695,3400475060365,1102373711047045
2019-08-08,254.11,255.33,252.37,252.4,163707369,5065805527292,1105795104086255
2019-08-09,255.13,256.15,254.41,254.85,117692639,3460645501513,1116340757351480
2019-08-12,255.57,256.43,254.43,255.35,69377330,2573099713669,1118422807698260
2019-08-13,253.5,254.58,252.63,252.83,76819151,2897599654112,1108083201508060
2019-08-14,255.84,256.82,254.59,254.86,82238225,3276640342609,1115983932932515
2019-08-16,252.76,253.94,251.46,253.9,71830645,2757642467772,1110674672819495
2019-08-19,255.2,255.84,254.25,255.11,66018886,2263328984840,1117458390938690
2019-08-20,255.53,258.62,254.74,258.05,81693248,2693626724455,1129186230818395
2019-08-21,257.15,259.49,257.11,258.38,65481194,2535558588706,1131059671866185
2019-08-22,258.53,258.73,256.25,256.28,67254698,2788207817128,1122557787543015
2019-08-23,255.11,256.88,254.91,256.11,54778321,2167244121053,1121712153749730
2019-08-26,251.8,253.14,250.99,252.19,62611508,2492430812999,1104159691228285
2019-08-27,253.74,254.96,252.53,253.5,93381120,3630265074930,1109087304785155
2019-08-28,254.2,255.98,253.65,255.53,58341675,2318240600526,1118646177978385
2019-08-29,255.68,256.28,253.6,254.31,64846967,2760368857059,1113727845956180
2019-08-30,256.85,259.61,256.72,259.0,94156340,3343192630243,1134140932789970
2019-09-02,258.25,259.74,257.8,259.08,54887131,2142110566595,1134691049556660
2019-09-03,258.55,259.67,257.4,258.25,64324050,2661293663266,1132244733295780
2019-09-04,257.89,261.69,257.76,261.69,69291289,2966247941921,1146321284485520
2019-09-05,262.53,266.0,262.27,264.44,88986916,3995513946825,1156235194053685
2019-09-06,266.2,266.36,264.74,265.53,59196071,2518199324714,1159448996037915
2019-09-09,266.11,268.67,265.92,267.4,62206713,2699359791744,1166654352203665
2019-09-10,267.96,269.13,267.35,268.76,66344741,2956233791358,1173572314179565
2019-09-11,270.35,271.35,269.58,270.84,103898457,4749975097013,1183466354982050
2019-09-16,271.48,272.03,269.59,272.02,103336989,4301472917818,1190130025287645
2019-09-17,271.46,272.26,270.9,271.68,73743158,3067233132366,1189772426433895
2019-09-18,271.88,273.72,271.04,273.06,67595059,2885293905766,1194703424233635
2019-09-19,273.11,276.15,273.03,274.92,70498242,3251056400655,1201104622451255
2019-09-20,275.01,276.67,274.46,276.44,74026928,3504949353393,1208237807459545
2019-09-23,275.86,277.11,275.64,276.65,60185799,2637005690905,1208343041833085
2019-09-24,276.41,278.17,275.55,277.97,68274237,2880773705939,1214554129385140
2019-09-25,276.67,277.04,274.12,274.42,70837419,3266808901949,1199018576942595
2019-09-26,275.61,276.38,273.5,274.89,89589807,2989692883768,1200355984138730
2019-09-27,273.32,273.4,270.52,271.33,57736582,2464564532157,1185270829341470
2019-09-30,270.61,273.85,270.06,273.55,54691383,2509409605465,1194255059211550
2019-10-01,273.43,275.38,272.81,274.42,52634201,2562235882213,1199514624478000
2019-10-02,272.39,272.42,268.55,268.55,66211645,2749174720474,1174511784286095
2019-10-04,268.14,270.16,267.39,267.39,62876815,2811074179843,1168744997908515
2019-10-07,269.12,269.75,266.83,267.67,53573530,2374998780805,1170566434343290
2019-10-08,268.9,271.51,267.97,271.36,75077913,3151788399465,1185737859168960
2019-10-10,268.79,270.78,266.23,268.8,98180225,4353974613879,1174443518051340
2019-10-11,271.68,272.68,270.58,271.3,59636691,2631562427177,1184491700442530
2019-10-14,274.71,275.75,273.97,274.23,71046334,2835930851797,1197262759050620
2019-10-15,273.85,275.09,273.83,274.34,53052281,2319483030543,1197673099283180
2019-10-16,276.26,277.59,275.24,276.32,65378120,2891322354072,1206365380736770
2019-10-17,275.92,276.68,274.62,275.57,53874843,2508668709895,1203830707072095
2019-10-18,275.99,277.06,272.28,272.81,71469095,3512327274864,1192114946692675
2019-10-21,273.87,274.1,272.67,273.79,45392367,1963648187603,1195271637302400
2019-10-22,275.4,278.19,274.93,277.41,63876408,2925066497086,1210248394585570
2019-10-23,276.83,277.29,275.34,276.23,65290456,3351039234669,1205709075848720
2019-10-24,277.7,277.84,274.31,276.7,73683184,3583939064540,1208792854624885
2019-10-25,277.6,277.67,275.7,277.07,58281859,3028661168516,1210854310658045
2019-10-28,278.16,279.42,277.29,277.78,59073438,2779867187459,1214254411388605
2019-10-29,279.25,279.49,276.81,277.55,57148264,2786204337308,1213442512123950
2019-10-30,277.49,277.49,274.95,275.51,72533416,3261469033369,1205548653777745
2019-10-31,276.84,279.04,275.82,275.82,78339943,3712939047359,1206945871695070
2019-11-01,276.17,278.55,275.59,278.43,58542723,2671635057539,1217145350854205
2019-11-04,279.9,282.77,279.9,282.54,76998491,3360533109861,1234822980772085
2019-11-05,282.99,284.46,282.27,284.38,76359130,3236043920476,1242382942901430
2019-11-06,284.31,286.43,283.7,284.52,77954458,3613953787775,1242698544099360
2019-11-07,284.04,284.82,283.05,284.37,70724270,3272937846072,1242926505134990
2019-11-08,285.81,286.12,282.57,283.13,73682137,3467111419287,1237647011891190
2019-11-11,283.3,283.3,280.4,280.85,61560058,2701575463705,1228976658467225
2019-11-12,281.9,283.65,280.79,283.65,65567871,2699501796190,1239580573234300
2019-11-13,282.28,282.49,280.62,281.28,60131757,2621675351416,1228131269527905
2019-11-14,281.9,283.93,281.1,283.93,79764136,3589652578403,1239348149268320
2019-11-15,283.85,287.72,283.3,287.29,71653544,3086832047031,1253354861286070
2019-11-18,287.1,287.78,285.94,287.18,56111818,2579900022679,1252608594560550
2019-11-19,285.74,286.34,283.73,286.23,68173663,3003706393974,1248340783235410
2019-11-20,284.27,285.29,282.0,282.21,73554781,3316295933879,1232105132540630
2019-11-21,281.89,282.33,276.98,278.28,81751129,3651412493707,1215555811773150
2019-11-22,278.57,279.89,278.14,279.43,74348439,2955710234988,1219200725692295
2019-11-25,281.77,283.53,281.48,282.19,64510882,3009253493489,1231724292094675
2019-11-26,283.09,284.87,281.77,281.83,119522810,5682459774594,1229619956768485
2019-11-27,283.56,284.02,281.27,282.85,60896468,2686649759714,1234236396379720
2019-11-28,281.23,282.8,281.05,281.23,61623593,2895866321028,1228599628466785
2019-11-29,282.08,282.1,276.34,276.78,74603530,3368454822776,1209753983789860
2019-12-02,278.27,279.44,276.97,277.44,66611564,3153712651175,1212814481446760
2019-12-03,274.93,276.63,273.88,276.19,67284418,3328195345226,1208341778734100
2019-12-04,274.36,274.68,272.53,274.15,81917526,4042915954827,1199578324982275
2019-12-05,275.65,276.63,272.53,273.3,66509328,3203347199693,1194983719904820
2019-12-06,275.19,277.0,274.75,276.56,70112837,2801381841642,1207871430482680
2019-12-09,278.31,278.75,277.02,278.03,70519015,2664666718852,1212310386094290
2019-12-10,276.8,279.75,276.62,279.31,56665890,2420791528626,1218074772257230
2019-12-11,279.19,281.03,278.45,280.28,66847020,2899445521763,1222458829110235
2019-12-12,282.62,285.43,282.62,285.11,133649718,6547392256358,1241853896670135
2019-12-13,289.34,290.11,288.32,290.11,99615761,4409821989750,1261994276037190
2019-12-16,289.54,290.8,289.36,289.76,73743040,3179252560607,1260544755092915
2019-12-17,291.76,294.5,290.52,294.4,94368479,4583078182050,1277993856085310
2019-12-18,294.31,295.85,293.05,294.22,76912440,3582523830474,1277465138618380
2019-12-19,295.06,295.84,292.82,294.31,70191142,3323163957558,1278520492355035
2019-12-20,295.58,295.86,293.95,295.31,75968087,3476348983186,1283107907489460
2019-12-23,295.84,296.12,293.81,294.87,62094914,2896604465625,1282833157068130
2019-12-24,295.18,295.25,292.47,292.9,60605345,2713291642598,1274889589440870
2019-12-26,293.12,294.07,291.79,294.06,68476489,3210835020685,1279018572814495
2019-12-27,292.37,296.95,291.28,295.2,77505716,3595200041204,1281311282403945
2019-12-30,294.6,295.49,293.4,293.77,54972424,2542759847145,1276530949109685
2020-01-02,294.19,294.57,289.96,290.35,66161346,3179607127060,1261453309933690
2020-01-03,293.1,294.88,289.04,290.74,79773386,3786974299485,1262242214935285
2020-01-06,287.73,289.41,287.49,288.43,69955469,3021821664326,1250784113174805
